date,text,likes,retweets
2025-11-09 00:27:33+00:00,"@theophilus367 @SenAdamSchiff Google it.
Time to boycott, Moron:
Apple - byebye IPhone
AMAZON-no online shopping
Alphebet-no more YouTube
GOOGLE- no more searches
Comcast- no more cable service
T-mobile - no more ghetto cellphones
And there's plenty more, just start with thoes, you fucking ignorant bafoon🤣😂",0,0
2025-11-09 00:25:43+00:00,"@1drcole @SenAdamSchiff Time to boycott, Moron:
Apple - byebye IPhone
AMAZON-no online shopping
Alphebet-no more YouTube
GOOGLE- no more searches
Comcast- no more cable service
T-mobile - no more ghetto cellphones
And there's plenty more just start with thoes, ignorant bafoon.",0,0
2025-11-09 00:23:04+00:00,@JonFreier @SouthwestAir @TMobile what a shame no one will be flying.  cant expect air traffic controllers to keep working for free you know,0,0
2025-11-09 00:21:33+00:00,"@SenAdamSchiff Go on. 
Alphabet/Google/YouTube: $22 million 
Lockheed Martin: Over $10 million
Crypto Firms: 
Coinbase
Ripple
Other Tech Giants: 
Apple
Amazon
Meta
Microsoft
Comcast (NBCUniversal parent), T-Mobile.
Defense/Consulting: 
Booz Allen Hamilton
Palantir Technologies",5,0
2025-11-09 00:20:18+00:00,@real_mrsinister @TMobile Let’s make sure you get the support you need with the phone calls you’ve been receiving. Please DM us the number that’s been contacting you so we can look into opt-out options and move forward together. ^PatrickUllmann,0,0
2025-11-09 00:17:33+00:00,Hey @TMobile why do you call a disabled veteran 30 times a day every day and harass him? Why don’t hate veterans? Why do you harass us with 30-40’calls a day everyday?,0,0
2025-11-09 00:17:04+00:00,@MLB @TMobile Interesting it was more an event of US and Japan against Canada than just the teams.  Says alot about how Canucks are viewed these days.,0,0
2025-11-09 00:07:06+00:00,Got spare Riley Green ticket for today at T-Mobile Center - Kansas City up. Anyone who can make it to the show can HMU.,0,0
2025-11-09 00:06:22+00:00,"It says “@Xfinity stream” but it works like #XfinityDrip. 
If my #HOA wasn’t providing it as part of my dues, I’d RUN back to @TMobile and their #wireless #5G https://t.co/k1ItvIKHsO",0,0
2025-11-09 00:06:07+00:00,"@TMobile I don't want a Samsung or an apple iPhone. What I wanted was you assholes to actually give me a app that worked and voicemail app that worked. But you didn't and I left you for Verizon. 
I'm still a little pissed about that because Verizon sucks and cost me 15 bucks more a month.",0,0
2025-11-09 00:02:49+00:00,Nigga you work for T-Mobile why are you so buff?,0,0
2025-11-09 00:00:01+00:00,"@mikebrask @TMobile Thank you for your patience, Mike. We’ve replied to your DM about domestic data roaming and will keep working with you there to get it sorted. More info is available here: https://t.co/ygCKBRqsE0 ^PatrickUllmann",0,0
2025-11-08 23:58:59+00:00,@fromoldharlem @TMobile Hello. We’re here to make sure you get the support you need with your service. Please send us a DM with your address so we can look into it and move forward with a full resolution together. ^PatrickUllmann,0,0
2025-11-08 23:55:33+00:00,"Another business trusting @TMobile to keep them connected 🔥

#TeamMagenta https://t.co/yY1EtZQdc1",0,0
2025-11-08 23:55:32+00:00,"Another business trusting @TMobile to keep them connected 🔥

#TeamMagenta https://t.co/6X1Qq8bkB7",0,0
2025-11-08 23:55:32+00:00,"Another business trusting @TMobile to keep them connected 🔥

#TeamMagenta https://t.co/owwEjL1iYq",0,0
